razao_social,nome,cnpj,text,cnae,situacao,fantasia,abertura,email,telefone,tipo,natureza_juridica,bairro,cep,uf
CORREA RIBEIRO SA COM IND,CORREA RIBEIRO SA COMERCIO E INDUSTRIA,15.101.405/0001-93,Compra e venda de imóveis próprios,68.10-2-01,ATIVA,,01/08/1966,rodrigo@crci.com.br,(71) 2137-4606 / (71) 3483-2027,MATRIZ,204-6 - Sociedade Anônima Aberta,CAMINHO DAS ARVORES,41.820-021,BA
TRONOX PIGMENTOS DO BRASIL S.A.,TRONOX PIGMENTOS DO BRASIL S.A,15.115.504/0001-24,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,20.19-3-99,ATIVA,,08/05/1967,joceni.marques@tronox.com,(71) 3634-9067,MATRIZ,204-6 - Sociedade Anônima Aberta,AREMBEPE (ABRANTES),42.829-710,BA
CIA ELETRICIDADE DA BAHIA,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA,15.139.629/0001-94,Distribuição de energia elétrica,35.14-0-00,ATIVA,,22/09/1966,fiscal@coelba.com.br,(71) 3370-5516/ (71) 3370-5408,MATRIZ,204-6 - Sociedade Anônima Aberta,CABULA VI,41.181-900,BA
CIA FERRO LIGAS BAHIA FERBASA,CIA DE FERRO LIGAS DA BAHIA FERBASA,15.141.799/0001-03,Produção de ferroligas,24.12-1-00,ATIVA,,23/09/1966,,,MATRIZ,204-6 - Sociedade Anônima Aberta,SANTIAGO,48.120-000,BA
CIA SEGUROS ALIANCA BAHIA,COMPANHIA DE SEGUROS ALIANCA DA BAHIA,15.144.017/0001-90,Sociedade seguradora de seguros não vida,65.12-0-00,ATIVA,,19/09/1958,lins@alba.com.br,(71) 3616-1006/ (71) 3616-1005,MATRIZ,204-6 - Sociedade Anônima Aberta,COMERCIO,40.015-020,BA
BIOSEV S.A.,BIOSEV S.A.,15.527.906/0001-36,Fabricação de açúcar em bruto,10.71-6-00,ATIVA,BIOSEV S.A.,01/09/1982,lourival.brito@biosev.com,(11) 3092-5200,MATRIZ,204-6 - Sociedade Anônima Aberta,JARDIM PAULISTANO,01.452-919,SP
SUZANO S.A.,SUZANO S.A.,16.404.287/0001-55,Fabricação de celulose e outras pastas para a fabricação de papel,17.10-9-00,ATIVA,SUZANO PAPEL E CELULOSE,17/12/1987,regularidades@suzano.com.br,(11) 3636-5797/ (11) 3636-5149,MATRIZ,204-6 - Sociedade Anônima Aberta,PITUBA,41.810-012,BA
AREZZO INDÚSTRIA E COMERCIO S/A,AREZZO INDUSTRIA E COMERCIO S.A.,16.590.234/0001-76,Comércio atacadista de calçados,46.43-5-01,ATIVA,AREZZO,14/09/1972,obrigacoesfiscais@arezzo.com.br,(51) 2129-5000/ (51) 2129-5399,MATRIZ,204-6 - Sociedade Anônima Aberta,SAVASSI,30.112-000,MG
DIRECIONAL ENGENHARIA SA,DIRECIONAL ENGENHARIA S/A,16.614.075/0001-00,Construção de edifícios,41.20-4-00,ATIVA,,06/03/1981,empresarial@direcional.com.br,(31) 3431-5686,MATRIZ,204-6 - Sociedade Anônima Aberta,SANTA EFIGENIA,30.150-270,MG
LOCALIZA RENT A CAR SA,LOCALIZA RENT A CAR SA,16.670.085/0001-55,Locação de automóveis sem condutor,77.11-0-00,ATIVA,LOCALIZA RENT A CAR,28/09/1973,tributario@localiza.com,(31) 3247-7915,MATRIZ,204-6 - Sociedade Anônima Aberta,CACHOEIRINHA,31.150-000,MG
CIA ENERG MINAS GERAIS – CEMIG,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,17.155.730/0001-64,Distribuição de energia elétrica,35.14-0-00,ATIVA,EST UNIF,27/05/1952,ediramos@cemig.com.br,(31) 3213-4423,MATRIZ,203-8 - Sociedade de Economia Mista,SANTO AGOSTINHO,30.190-131,MG
MINASMAQUINAS SA,MINASMAQUINAS SA,17.161.241/0001-15,Comércio por atacado de caminhões novos e usados,45.11-1-04,ATIVA,,19/08/1966,,,MATRIZ,204-6 - Sociedade Anônima Aberta,BANDEIRANTES,32.140-000,MG
MENDES JUNIOR ENGENHARIA SA,MENDES JUNIOR ENGENHARIA S.A,17.162.082/0001-73,Construção de obras-de-arte especiais,42.12-0-00,ATIVA,,01/08/1966,geraldo.mello@mendesjuniorengenharia.com.br,(31) 2121-9920 / (0031) 2179-777,MATRIZ,204-6 - Sociedade Anônima Aberta,BOA VIAGEM,30.130-183,MG
ALFA HOLDINGS SA,ALFA HOLDINGS S.A.,17.167.396/0001-69,Holdings de instituições financeiras,64.61-1-00,ATIVA,,10/08/1966,,,MATRIZ,204-6 - Sociedade Anônima Aberta,PARAISO,01.418-000,SP
FINANCEIRA ALFA S.A.- C.F.I,"FINANCEIRA ALFA S.A. CREDITO, FINANCIAMENTO E INVESTIMENTOS",17.167.412/0001-13,"Sociedades de crédito, financiamento e investimento - financeiras",64.36-1-00,ATIVA,,23/09/1966,,,MATRIZ,204-6 - Sociedade Anônima Aberta,CERQUEIRA CESAR,01.418-000,SP
BANCO MERCANTIL BRASIL SA,BANCO MERCANTIL DO BRASIL SA,17.184.037/0001-10,"Bancos múltiplos, com carteira comercial",64.22-1-00,ATIVA,,28/09/1966,mb.controladoria@mercantil.com.br,(31) 3057-6292,MATRIZ,204-6 - Sociedade Anônima Aberta,CENTRO,30.160-912,MG
CONSORCIO ALFA DE ADMINISTRAÇÃO SA,CONSORCIO ALFA DE ADMINISTRACAO S.A,17.193.806/0001-46,Holdings de instituições financeiras,64.61-1-00,ATIVA,,27/09/1966,,,MATRIZ,204-6 - Sociedade Anônima Aberta,CERQUEIRA CESAR,01.418-000,SP
COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA,CIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA,17.245.234/0001-00,Serviços combinados de escritório e apoio administrativo,82.11-3-00,ATIVA,,07/01/1966,contabil@cedro.ind.br,(31) 3235-5224/ (31) 3235-5229,MATRIZ,204-6 - Sociedade Anônima Aberta,FUNCIONARIOS,30.130-917,MG
COMPANHIA DE SANEAMENTO DE MINAS GERAIS,COMPANHIA DE SANEAMENTO DE MINAS GERAIS COPASA MG,17.281.106/0001-03,"Captação, tratamento e distribuição de água",36.00-6-01,ATIVA,COPASA MG,24/08/1966,usat@copasa.com.br,(31) 3250-1548,MATRIZ,203-8 - Sociedade de Economia Mista,SANTO ANTONIO,30.330-270,MG
INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A.,INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,17.314.329/0001-20,Restaurantes e similares,56.11-2-01,ATIVA,,26/01/1968,imcalimentacao@grupoastec.com.br,(11) 3041-9500,MATRIZ,204-6 - Sociedade Anônima Aberta,JARDIM UNIVERSIDADE PINHEIROS,05.477-902,SP
BB SEGURIDADE PARTICIPAÇÕES S.A.,BB SEGURIDADE PARTICIPACOES S.A.,17.344.597/0001-94,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,BB SEGURIDADE,27/12/2012,diseg@bb.com.br,(61) 3102-7702,MATRIZ,204-6 - Sociedade Anônima Aberta,ASA NORTE,70.040-912,DF
COSAN LOGÍSTICA S.A.,COSAN LOGISTICA S/A,17.346.997/0001-39,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,,28/11/2012,fiscalizacaocar@raizen.com,(19) 3423-5000,MATRIZ,204-6 - Sociedade Anônima Aberta,ITAIM BIBI,04.538-132,SP
PORTO SUDESTE V.M. S.A.,PORTO SUDESTE V.M. S/A,18.494.485/0001-82,"Outras sociedades de participação, exceto holdings",64.63-8-00,ATIVA,,15/07/2013,ane.jesus@portosudeste.com,(21) 2163-6190,MATRIZ,205-4 - Sociedade Anônima Fechada,ILHA DA MADEIRA,23.826-580,RJ
PRINER SERVIÇOS INDUSTRIAIS S.A.,PRINER SERVICOS INDUSTRIAIS S.A,18.593.815/0001-97,Montagem e desmontagem de andaimes e outras estruturas temporárias,43.99-1-02,ATIVA,,31/07/2013,simone.dias@priner.com.br,(21) 3544-3147,MATRIZ,204-6 - Sociedade Anônima Aberta,FREGUESIA,22.760-401,RJ
INSTITUTO HERMES PARDINI S/A,INSTITUTO HERMES PARDINI S/A,19.378.769/0001-76,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente,86.40-2-99,ATIVA,,02/02/1977,rodrigo.duarte@hermespardini.com.br,(31) 3629-6200,MATRIZ,204-6 - Sociedade Anônima Aberta,FUNCIONARIOS,30.140-070,MG
COMPANHIA INDUSTRIAL CATAGUASES,COMPANHIA INDUSTRIAL CATAGUASES,19.526.748/0001-50,Tecelagem de fios de algodão,13.21-9-00,ATIVA,,14/09/1966,celso@cataguases.com.br,(32) 3422-2211/ (32) 3422-3477,MATRIZ,204-6 - Sociedade Anônima Aberta,VILA TEREZA,36.772-010,MG
NOTRE DAME INTERMÉDICA PARTICIPAÇÕES S.A.,NOTRE DAME INTERMEDICA PARTICIPACOES S.A.,19.853.511/0001-84,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,,11/03/2014,gilson.ramos@intermedica.com.br,(11) 3155-2000,MATRIZ,205-4 - Sociedade Anônima Fechada,BELA VISTA,01.311-100,SP
OURO FINO SAÚDE ANIMAL PARTICIPAÇÕES S.A.,OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.,20.258.278/0001-70,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,,15/05/2014,juridico@ourofino.com,(16) 3518-2898,MATRIZ,204-6 - Sociedade Anônima Aberta,DISTRITO INDUSTRIAL,14.140-000,SP
CIA TECIDOS SANTANENSE,COMPANHIA TECIDOS SANTANENSE,21.255.567/0001-89,Tecelagem de fios de algodão,13.21-9-00,ATIVA,,23/10/1891,,(38) 3215-1358,MATRIZ,204-6 - Sociedade Anônima Aberta,J.K.,39.404-006,MG
MOVIDA PARTICIPAÇÕES S.A.,MOVIDA PARTICIPACOES S.A.,21.314.559/0001-66,Locação de automóveis sem condutor,77.11-0-00,ATIVA,,30/10/2014,nfe@movidafrotas.com.br,(11) 2377-7000/ (11) 2377-7043,MATRIZ,204-6 - Sociedade Anônima Aberta,ITAIM BIBI,04.530-001,SP
FERTILIZANTES HERINGER S.A. – EM RECUPERAÇÃO JUDICIAL,FERTILIZANTES HERINGER S.A.,22.266.175/0001-88,"Fabricação de adubos e fertilizantes, exceto organo-minerais",20.13-4-02,ATIVA,FERTILIZANTES HERINGER,22/01/1973,fiscalcorporativo@heringer.com.br,(27) 2122-2200/ (19) 3322-2364,MATRIZ,204-6 - Sociedade Anônima Aberta,PARQUE INDUSTRIAL,29.136-519,ES
CIA TECIDOS NORTE DE MINAS – COTEMINAS,COMPANHIA DE TECIDOS NORTE DE MINAS COTEMINAS,22.677.520/0001-76,Fiação de fibras artificiais e sintéticas,13.13-8-00,ATIVA,COTEMINAS,18/12/1967,nfe-sp@coteminas.com.br,(11) 2145-4400/ (11) 2145-4428,MATRIZ,204-6 - Sociedade Anônima Aberta,DISTRITO INDUSTRIAL,39.404-005,MG
RUMO MALHA NORTE S.A.,RUMO MALHA NORTE S.A,24.962.466/0001-36,Transporte ferroviário de carga,49.11-6-00,ATIVA,RUMO MALHA NORTE,05/10/1988,fiscalizacaocar@raizen.com,(19) 3423-8000 / (011) 8294-775,MATRIZ,204-6 - Sociedade Anônima Aberta,PARQUE INDUSTRIAL INTERMODAL DE RONDONOPOLIS,78.746-860,MT
MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S/A,MILLS ESTRUTURAS E SERVICOS DE ENGENHARIA S/A,27.093.558/0001-15,Aluguel de andaimes,77.32-2-02,ATIVA,,27/01/1981,fiscal@mills.com.br,(21) 2132-4338,MATRIZ,204-6 - Sociedade Anônima Aberta,TAQUARA,22.713-002,RJ
BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO,BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO,28.127.603/0001-78,"Bancos múltiplos, com carteira comercial",64.22-1-00,ATIVA,BANESTES,08/08/1966,secre@banestes.com.br,(27) 3383-1588,MATRIZ,203-8 - Sociedade de Economia Mista,CENTRO,29.010-930,ES
BANCO ABC BRASIL S/A,BANCO ABC BRASIL S.A.,28.195.667/0001-06,"Bancos múltiplos, com carteira comercial",64.22-1-00,ATIVA,,30/12/1983,,(11) 3170-2000,MATRIZ,204-6 - Sociedade Anônima Aberta,ITAIM BIBI,01.453-000,SP
SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A,SAO CARLOS EMPREENDIMENTOS E PARTICIPACOES S.A,29.780.061/0001-09,Aluguel de imóveis próprios,68.10-2-02,ATIVA,,22/10/1985,,(11) 3048-5440,MATRIZ,204-6 - Sociedade Anônima Aberta,VILA NOVA CONCEICAO,04.543-904,SP
NORTEC QUIMICA S.A.,NORTEC QUIMICA S.A.,29.950.060/0001-57,Fabricação de produtos farmoquímicos,21.10-6-00,ATIVA,NORTEC,06/01/1986,wallas.cardoso@nortecquimica.com.br,(21) 3651-7300/ (21) 3501-7300,MATRIZ,204-6 - Sociedade Anônima Aberta,MANTIQUIRA,25.250-612,RJ
SUL AMERICA S/A,SUL AMERICA S A,29.978.814/0001-87,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,,11/04/1978,barbara.ferreira@sulamerica.com.br,(21) 2506-4323 / (21) 2506-8197,MATRIZ,204-6 - Sociedade Anônima Aberta,CIDADE NOVA,20.211-903,RJ
BANCO BTG PACTUAL S/A,BANCO BTG PACTUAL S.A.,30.306.294/0001-45,"Bancos múltiplos, com carteira comercial",64.22-1-00,ATIVA,,05/06/1979,,(21) 3262-9757,MATRIZ,204-6 - Sociedade Anônima Aberta,BOTAFOGO,22.250-911,RJ
HAGA S.A. INDÚSTRIA E COMÉRCIO,HAGA S/A INDUSTRIA E COMERCIO,30.540.991/0001-66,"Fabricação de artigos de serralheria, exceto esquadrias",25.42-0-00,ATIVA,,08/09/1966,haga@haga.com.br,(22) 2525-8000/ (22) 2525-8004,MATRIZ,204-6 - Sociedade Anônima Aberta,ROBADEY,28.605-220,RJ
NATURA & CO HOLDING S.A.,NATURA &CO HOLDING S.A.,32.785.497/0001-97,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,,15/02/2019,a@a.com.br,(11) 9999-9999 / (11) 8888-8888 / (01) 9999-9999,MATRIZ,204-6 - Sociedade Anônima Aberta,PARQUE ANHANGUERA,05.106-000,SP
PETRÓLEO BRASILEIRO  S.A.  – PETROBRAS,PETROLEO BRASILEIRO S A PETROBRAS,33.000.167/0001-01,Fabricação de produtos do refino de petróleo,19.21-7-00,ATIVA,PETROBRAS,28/09/1966,atendimentofiscossco@petrobras.com.br,(21) 3224-8091/ (21) 3224-4477,MATRIZ,203-8 - Sociedade de Economia Mista,CENTRO,20.031-170,RJ
LOJAS AMERICANAS SA,LOJAS AMERICANAS S.A.,33.014.556/0001-96,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",47.11-3-02,ATIVA,,01/08/1966,sede@lasa.com.br,(21) 2206-6708,MATRIZ,204-6 - Sociedade Anônima Aberta,SAUDE,20.081-902,RJ
MASSA FALIDA DE SAM INDUSTRIAS SA,SAM INDUSTRIAS S/A,33.017.039/0001-70,********,00.00-0-00,INAPTA,FICAP/MARVIN,12/03/1971,,,MATRIZ,204-6 - Sociedade Anônima Aberta,,,
JOAO FORTES ENGENHARIA SA,JOAO FORTES ENGENHARIA S A,33.035.536/0001-00,Incorporação de empreendimentos imobiliários,41.10-7-00,ATIVA,,17/09/1973,,(21) 2253-4239,MATRIZ,204-6 - Sociedade Anônima Aberta,BARRA DA TIJUCA,22.631-003,RJ
MERCANTIL DO BR FINC SA CFI,MERCANTIL DO BRASIL FINANCEIRA SA CREDITO FIN E INVEST,33.040.601/0001-87,"Sociedades de crédito, financiamento e investimento - financeiras",64.36-1-00,ATIVA,,30/11/1972,,,MATRIZ,204-6 - Sociedade Anônima Aberta,CENTRO,30.160-912,MG
VIA VAREJO S.A.,VIA VAREJO S/A,33.041.260/0652-90,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,47.53-9-00,ATIVA,,07/08/2008,setorfiscal.csc@viavarejo.com.br,(11) 4225-6555,FILIAL,204-6 - Sociedade Anônima Aberta,CENTRO,09.510-125,SP
CIA SIDERURGICA NACIONAL,COMPANHIA SIDERURGICA NACIONAL,33.042.730/0001-04,"Produção de laminados planos de aço ao carbono, revestidos ou não",24.22-9-01,ATIVA,ESTABELECIMENTO UNIFICADO,08/08/1966,comunicacao@csn.com.br,(11) 3049-7100,MATRIZ,204-6 - Sociedade Anônima Aberta,ITAIM BIBI,04.538-132,SP
AMPLA ENERGIA E SERVIÇOS S.A.,AMPLA ENERGIA E SERVICOS S.A.,33.050.071/0001-58,Distribuição de energia elétrica,35.14-0-00,ATIVA,ENEL DISTRIBUICAO RIO,01/08/1966,fiscpro@enel.com,(21) 2716-1620,MATRIZ,204-6 - Sociedade Anônima Aberta,SAO DOMINGOS,24.210-200,RJ
MONTEIRO ARANHA SA,MONTEIRO ARANHA SA,33.102.476/0001-92,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,,10/08/1966,,(21) 2555-0925,MATRIZ,204-6 - Sociedade Anônima Aberta,LEBLON,22.430-060,RJ
TECNOSOLO S/A – EM RECUPERAÇÃO JUDICIAL,TECNOSOLO ENGENHARIA S.A. EM RECUPERACAO JUDICIAL,33.111.246/0001-90,Obras de fundações,43.91-6-00,ATIVA,TECNOSOLO,11/08/1966,matriz@tecnosolo.com.br,(21) 3513-9999 / (21) 2223-4277 / (21) 3513-9998,MATRIZ,204-6 - Sociedade Anônima Aberta,TAQUARA - JACAREPAGUA,22.713-010,RJ
VALID SOLUÇÕES E SERVIÇOS DE SEGURANÇA EM MEIOS DE PAGAMENTO E IDENTIFICAÇÃO S.A.,VALID SOLUCOES S A,33.113.309/0001-47,Impressão de material de segurança,18.12-1-00,ATIVA,VALID,30/01/1969,fiscal.valid@valid.com,(21) 2195-7244/ (21) 2195-7250,MATRIZ,204-6 - Sociedade Anônima Aberta,SAO CRISTOVAO,20.930-390,RJ
HOTEIS OTHON SA,HOTEIS OTHON S.A. - EM RECUPERACAO JUDICIAL,33.200.049/0001-47,Hotéis,55.10-8-01,ATIVA,,31/12/1965,fiscal.ecen@othon.com.br,(21) 2125-0200,MATRIZ,204-6 - Sociedade Anônima Aberta,COPACABANA,22.060-001,RJ
WLM INDÚSTRIA E COMÉRCIO S.A.,WLM PARTICIPACOES E COMERCIO DE MAQUINAS E VEICULOS S.A.,33.228.024/0001-51,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,WLM,06/09/1971,wlm@wlm.com.br,(21) 3974-6550/ (21) 3974-6880,MATRIZ,204-6 - Sociedade Anônima Aberta,FLAMENGO,22.210-901,RJ
ULTRAPAR PARTICIPAÇÕES SA,ULTRAPAR PARTICIPACOES S/A,33.256.439/0001-39,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,,11/12/1953,wilson@ultra.com.br,(11) 3177-7246/ (11) 3177-6601,MATRIZ,204-6 - Sociedade Anônima Aberta,BELA VISTA,01.317-910,SP
IRB – BRASIL RESSEGUROS S.A.,IRB-BRASIL RESSEGUROS S.A.,33.376.989/0001-91,Resseguros,65.30-8-00,ATIVA,IRB BRASIL RE,14/09/1966,mlschnei@irb-brasilre.com.br,(21) 2272-0648 / (21) 2240-9320,MATRIZ,204-6 - Sociedade Anônima Aberta,CENTRO,20.020-901,RJ
SONDOTECNICA ENGENHARIA DE SOLOS S/A.,SONDOTECNICA ENGENHARIA DE SOLOS S A,33.386.210/0001-19,Serviços de engenharia,71.12-0-00,ATIVA,,11/06/1973,sondotecnica@sondotecnica.com.br,(21) 2102-7100,MATRIZ,204-6 - Sociedade Anônima Aberta,BOTAFOGO,22.270-900,RJ
REFINARIA PET MANGUINHOS SA,REFINARIA DE PETROLEOS DE MANGUINHOS S/A - EM RECUPERACAO JUDICIAL,33.412.081/0001-96,Fabricação de produtos do refino de petróleo,19.21-7-00,ATIVA,,30/07/1969,fiscal@delftconsult.com.br,(21) 3613-5530,MATRIZ,204-6 - Sociedade Anônima Aberta,BENFICA,20.930-041,RJ
TEKNO S.A. INDÚSTRIA E COMÉRCIO,TEKNO S.A. INDUSTRIA E COMERCIO,33.467.572/0001-34,Fabricação de outros produtos de metal não especificados anteriormente,25.99-3-99,ATIVA,,21/09/1966,,,MATRIZ,204-6 - Sociedade Anônima Aberta,VILA GUILHERME,02.060-040,SP
VALE S.A.,VALE S.A.,33.592.510/0001-54,Extração de minério de ferro,07.10-3-01,ATIVA,,11/02/1969,danilo.cidrini@vale.com,(21) 3485-3002,MATRIZ,204-6 - Sociedade Anônima Aberta,BOTAFOGO,22.250-145,RJ
GERDAU S.A.,GERDAU S.A.,33.611.500/0001-19,"Produção de laminados longos de aço, exceto tubos",24.23-7-02,ATIVA,GERDAU COSIGUA,09/03/1971,controlesocietario@gerdau.com.br,(11) 3094-6600,MATRIZ,204-6 - Sociedade Anônima Aberta,PINHEIROS,05.425-070,SP
VIVARA PARTICIPAÇÕES S.A.,VIVARA PARTICIPACOES S.A.,33.839.910/0001-11,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,,05/06/2019,fiscal@vivara.com.br,(11) 3896-2517,MATRIZ,205-4 - Sociedade Anônima Fechada,VILA SAO FRANCISCO (ZONA SUL),04.711-904,SP
CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO,COMPANHIA DISTRIBUIDORA DE GAS DO RIO DE JANEIRO - CEG,33.938.119/0001-69,Distribuição de combustíveis gasosos por redes urbanas,35.20-4-02,ATIVA,* CEG *,15/01/1970,ceg@gasnatural.com,(21) 3115-6565,MATRIZ,204-6 - Sociedade Anônima Aberta,CENTRO,20.071-004,RJ
UNIPAR CARBOCLORO S.A.,UNIPAR CARBOCLORO S.A.,33.958.695/0001-78,Fabricação de cloro e álcalis,20.11-8-00,ATIVA,,14/03/1972,controladoria@uniparcarbocloro.com.br,(11) 3704-4200,MATRIZ,204-6 - Sociedade Anônima Aberta,VILA NOVA CONCEICAO,04.543-011,SP
BANCO MERCANTIL DE INVESTIMENTOS S.A.,BANCO MERCANTIL DE INVESTIMENTOS SA,34.169.557/0001-72,Bancos de investimento,64.32-8-00,ATIVA,,23/04/1973,,,MATRIZ,204-6 - Sociedade Anônima Aberta,CENTRO,30.160-912,MG
PETROBRAS DISTRIBUIDORA SA,PETROBRAS DISTRIBUIDORA SA,34.274.233/0001-02,"Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador retalhista (T.R.R.)",46.81-8-01,ATIVA,BR,12/05/1972,relacionamentofisco@br.com.br,(21) 2354-3151/ (21) 2354-3146,MATRIZ,204-6 - Sociedade Anônima Aberta,CIDADE NOVA,20.211-140,RJ
QUALITY SOFTWARE S.A.,QUALITY SOFTWARE S/A,35.791.391/0001-94,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",62.09-1-00,ATIVA,,06/09/1989,anderson@quality.com.br,(21) 3147-3000,MATRIZ,205-4 - Sociedade Anônima Fechada,CENTRO,20.040-001,RJ
BRQ SOLUÇÕES EM INFORMÁTICA S.A.,BRQ SOLUCOES EM INFORMATICA S.A,36.542.025/0001-64,Desenvolvimento de programas de computador sob encomenda,62.01-5-01,ATIVA,,26/02/1993,documentacaobrq@brq.com,(21) 3211-9800/ (11) 2126-7000,MATRIZ,204-6 - Sociedade Anônima Aberta,EMPRESARIAL 18 DO FORTE,06.472-001,SP
BRASKEM S.A.,BRASKEM S.A,42.150.391/0001-70,Fabricação de produtos petroquímicos básicos,20.21-5-00,ATIVA,BRASKEM,12/03/1973,cadastroempresas@braskem.com,(71) 3504-7100,MATRIZ,204-6 - Sociedade Anônima Aberta,COMPL PETR CAMACARI,42.810-000,BA
LOG-IN LOGISTICA INTERMODAL SA,LOG-IN - LOGISTICA INTERMODAL S/A,42.278.291/0001-24,Operador de transporte multimodal - OTM,52.50-8-05,ATIVA,LOG-IN,05/10/1973,tributos@loginlogistica.com.br,(27) 3182-7198/ (21) 2111-6500,MATRIZ,204-6 - Sociedade Anônima Aberta,CENTRO,20.021-130,RJ
WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.,WIZ SOLUCOES E CORRETAGEM DE SEGUROS S.A,42.278.473/0001-03,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",66.22-3-00,ATIVA,WIZ SOLUCOES E CORRETAGEM DE SEGUROS S.A,08/10/1973,carlos@wizsolucoes.com.br,(61) 3426-9500,MATRIZ,204-6 - Sociedade Anônima Aberta,ASA NORTE,70.701-000,DF
BATTISTELLA ADM E PARTICIPAÇÕES S A,BATTISTELLA ADMINISTRACAO E PARTICIPACOES S/A,42.331.462/0001-31,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,,01/08/1974,ana.ferraz@battistella.com.br,(41) 3299-7272 / (41) 3299-8593 / (41) 3299-7244,MATRIZ,204-6 - Sociedade Anônima Aberta,BARRO PRETO,83.015-140,PR
CENTRO DE IMAGEM DIAGNÓSTICOS S.A.,CENTRO DE IMAGEM DIAGNOSTICOS S/A.,42.771.949/0001-35,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",86.10-1-01,ATIVA,AXIAL - CENTRO DE IMAGEM,11/08/1992,luiz.uehara@alliar.com,(31) 3237-1221,MATRIZ,204-6 - Sociedade Anônima Aberta,FUNCIONARIOS,30.150-288,MG
IGB ELETRÔNICA S.A. – EM RECUPERAÇÃO JUDICIAL,IGB ELETRONICA S.A,43.185.362/0001-07,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo",26.40-0-00,ATIVA,,03/11/1971,renato.gusmao@gradiente.com,(92) 3615-4717/ (92) 3615-4760,MATRIZ,204-6 - Sociedade Anônima Aberta,DISTRITO INDUSTRIAL I,69.075-020,AM
EVEN CONSTRUTORA E INCORPORADORA S/A,EVEN CONSTRUTORA E INCORPORADORA S/A,43.470.988/0001-65,Construção de edifícios,41.20-4-00,ATIVA,EVEN,15/05/1980,even@even.com.br,(11) 3377-3893,MATRIZ,204-6 - Sociedade Anônima Aberta,JARDIM EUROPA,01.455-000,SP
CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO,CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO SABESP,43.776.517/0001-80,"Captação, tratamento e distribuição de água",36.00-6-01,ATIVA,SABESP,08/10/1973,,,MATRIZ,203-8 - Sociedade de Economia Mista,PINHEIROS,05.429-000,SP
C&A MODAS S.A.,C&A MODAS S.A.,45.242.914/0001-05,Comércio varejista de artigos do vestuário e acessórios,47.81-4-00,ATIVA,C E A,12/01/1981,intimacoesfiscais@cea.com.br,(11) 2134-6434,MATRIZ,204-6 - Sociedade Anônima Aberta,ALPHAVILLE CENTRO INDUSTRIAL E EMPRESARIAL,06.455-000,SP
PROFARMA DISTRIB. PRODUTOS FARMACEUTICOS,PROFARMA DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS SA,45.453.214/0001-51,Comércio atacadista de medicamentos e drogas de uso humano,46.44-3-01,ATIVA,,05/02/1981,fiscalcorporativo@profarma.com.br,(21) 4009-0200,MATRIZ,204-6 - Sociedade Anônima Aberta,BARRA DA TIJUCA,22.775-003,RJ
BAHEMA EDUCACAO S.A.,BAHEMA EDUCACAO S.A.,45.987.245/0001-92,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,,26/07/1966,alexandre@bahema.com.br,(11) 3085-1522,MATRIZ,204-6 - Sociedade Anônima Aberta,JARDIM PAULISTANO,01.451-001,SP
